client_id,motivation
K00001,0.3702
K00002,0.8768
K00003,0.8323
K00004,0.8628
K00005,0.3313
K00006,0.5451
K00007,0.4055
K00008,0.295
K00009,0.786
K00010,0.3679
K00011,0.4834
K00012,0.7539
K00013,0.5681
K00014,0.7657
K00015,0.372
K00016,0.8364
K00017,0.6419
K00018,0.8646
K00019,0.7716
K00020,0.8617
K00021,0.6955
K00022,0.7625
K00023,0.9724
K00024,0.3885
K00025,0.7457
K00026,0.8729
K00027,0.7006
K00028,0.2537
K00029,0.2705
K00030,0.3572
K00031,0.3266
K00032,0.4318
K00033,0.3996
K00034,0.7437
K00035,0.463
K00036,0.8155
K00037,0.8272
K00038,0.9259
K00039,0.851
K00040,0.6136
K00041,0.3689
K00042,0.8925
K00043,0.3426
K00044,0.9693
K00045,0.246
K00046,0.3058
K00047,0.779
K00048,0.6877
K00049,0.5397
K00050,0.4839
K00051,0.4062
K00052,0.3357
K00053,0.7542
K00054,0.7827
K00055,0.5696
K00056,0.5294
K00057,0.7664
K00058,0.1683
K00059,0.3565
K00060,0.5573
K00061,0.6103
K00062,0.7841
K00063,0.8787
K00064,0.8452
K00065,0.8368
K00066,0.579
K00067,0.7401
K00068,0.789
K00069,0.7565
K00070,0.5313
K00071,0.7838
K00072,0.8969
K00073,0.5327
K00074,0.6979
K00075,0.6823
K00076,0.6465
K00077,0.5162
K00078,0.6228
K00079,0.7451
K00080,0.395
K00081,0.403
K00082,0.857
K00083,0.8515
K00084,0.7128
K00085,0.8155
K00086,0.2812
K00087,0.8265
K00088,0.7792
K00089,0.7591
K00090,0.4671
K00091,0.5038
K00092,0.6136
K00093,0.7133
K00094,0.177
K00095,0.1957
K00096,0.9121
K00097,0.6151
K00098,0.715
K00099,0.8234
K00100,0.7566
K00101,0.5205
K00102,0.5686
K00103,0.5599
K00104,0.3426
K00105,0.7318
K00106,0.8762
K00107,0.8171
K00108,0.7507
K00109,0.7333
K00110,0.5332
K00111,0.3245
K00112,0.7018
K00113,0.7325
K00114,0.6466
K00115,0.7904
K00116,0.7285
K00117,0.3985
K00118,0.6071
K00119,0.9122
K00120,0.5952
K00121,0.6427
K00122,0.5077
K00123,0.7674
K00124,0.6364
K00125,0.3413
K00126,0.3046
K00127,0.7565
K00128,0.6374
K00129,0.7445
K00130,0.7703
K00131,0.4568
K00132,0.7407
K00133,0.8777
K00134,0.3113
K00135,0.5656
K00136,0.5492
K00137,0.4036
K00138,0.7212
K00139,0.7358
K00140,0.6257
K00141,0.7143
K00142,0.7019
K00143,0.36
K00144,0.8307
K00145,0.2189
K00146,0.7792
K00147,0.6049
K00148,0.4483
K00149,0.3738
K00150,0.7214
K00151,0.794
K00152,0.3326
