coach_id,comp_persoonlijk leiderschap,comp_stress,comp_zelfonderzoek,comp_loopbaan,comp_communicatie,comp_leiderschap,comp_balans werk/prive,comp_zelfvertrouwen,comp_samenwerken,comp_loslaten,comp_emotieregulatie,comp_assertiviteit
C0001,0.2115,0.6209,0.2714,0.1936,0.2074,0.2532,0.7166,0.6869,0.1955,0.2611,0.2415,0.2684
C0002,0.622,0.2014,0.2158,0.2328,0.6233,0.1703,0.2409,0.3075,0.2961,0.2325,0.2392,0.271
C0003,0.1667,0.4903,0.222,0.1804,0.2151,0.2426,0.2136,0.1457,0.1591,0.2068,0.2628,0.2103
C0004,0.2343,0.1616,0.5342,0.4518,0.1785,0.2038,0.1828,0.2368,0.2472,0.1639,0.0656,0.1716
C0005,0.2173,0.304,0.5118,0.2888,0.2822,0.2086,0.1123,0.2871,0.2205,0.2341,0.3245,0.2072
C0006,0.6363,0.6843,0.3558,0.3534,0.2641,0.3088,0.6445,0.2531,0.2819,0.2954,0.3022,0.2694
C0007,0.6328,0.2526,0.1438,0.1806,0.174,0.6102,0.1322,0.5627,0.2054,0.1626,0.2893,0.2507
C0008,0.2226,0.1705,0.1683,0.5669,0.2177,0.1836,0.2141,0.14,0.2436,0.2715,0.2513,0.1392
C0009,0.2608,0.761,0.1723,0.2791,0.3103,0.6638,0.2178,0.2839,0.2631,0.3414,0.3671,0.3298
C0010,0.2927,0.2709,0.2165,0.2494,0.1272,0.2273,0.248,0.4837,0.2025,0.2586,0.5897,0.2655
C0011,0.1157,0.5341,0.2215,0.1807,0.1981,0.0783,0.1237,0.1979,0.1857,0.1274,0.2187,0.0759
C0012,0.6397,0.2739,0.1089,0.2456,0.2826,0.1752,0.6014,0.3102,0.3096,0.1971,0.3888,0.2938
C0013,0.8026,0.3477,0.2738,0.1891,0.7336,0.2091,0.3138,0.3263,0.2788,0.3432,0.2229,0.2563
C0014,0.0837,0.0348,0.0526,0.0971,0.0696,0.3394,0.0741,0.1165,0.1277,0.02,0.1317,0.1456
C0015,0.1603,0.2476,0.581,0.1689,0.2012,0.213,0.2334,0.2966,0.1879,0.2421,0.2893,0.2004
C0016,0.2255,0.1915,0.2522,0.2881,0.6363,0.24,0.2477,0.1943,0.2874,0.2778,0.207,0.2265
C0017,0.2441,0.1732,0.3955,0.2591,0.4955,0.2524,0.1497,0.1379,0.1754,0.1872,0.1814,0.0999
C0018,0.1936,0.3264,0.164,0.1998,0.0996,0.1075,0.1474,0.1389,0.0974,0.1186,0.1205,0.0782
C0019,0.2609,0.2368,0.2438,0.6336,0.254,0.3338,0.1989,0.3002,0.3627,0.5798,0.2771,0.3144
C0020,0.1416,0.1098,0.13,0.0484,0.0268,0.0909,0.2874,0.0559,0.1304,0.1443,0.0764,0.02
