trajectory_id,client_id,coach_id,true_fit,alliance,motivation,need_competency_alignment,true_competence_primary,personality_sim,satisfaction_true_1_10,goal_true_1_10,dropout
T00001,K00145,C0072,0.445,0.3117,0.2189,1.0,0.5483,0.9089,4,9,True
T00002,K00615,C0068,0.7342,0.5475,0.6335,0.8333,0.6102,0.8637,7,7,False
T00003,K00471,C0030,0.9392,0.7284,0.6663,1.0,0.6724,0.9866,7,8,False
T00004,K00095,C0104,0.686,0.4088,0.1957,1.0,0.5871,0.9488,4,6,False
T00005,K00416,C0113,0.5897,0.4282,0.3433,0.75,0.646,0.9913,4,6,False
T00006,K00119,C0071,0.6131,0.6881,0.9122,0.75,0.1195,0.9478,7,9,False
T00007,K00016,C0025,0.3915,0.3843,0.8364,0.75,0.6046,0.8652,5,7,False
T00008,K00220,C0107,0.653,0.633,0.5888,1.0,0.4681,0.9843,6,9,False
T00009,K00144,C0116,0.8289,0.6052,0.8307,1.0,0.4451,0.9646,6,9,False
T00010,K00267,C0033,0.9092,0.7445,0.8107,1.0,0.2507,0.9387,7,9,False
T00011,K00634,C0088,0.5105,0.4389,0.6765,0.6667,0.2428,0.9486,5,6,False
T00012,K00602,C0049,0.2067,0.1003,0.3068,0.3333,0.642,0.9848,3,4,True
T00013,K00092,C0058,0.787,0.502,0.6136,0.75,0.8374,0.8548,5,7,False
T00014,K00467,C0096,0.6862,0.5187,0.6368,1.0,0.3502,0.9518,6,9,False
T00015,K00540,C0031,0.5534,0.5073,0.661,1.0,0.1852,0.9764,4,8,False
T00016,K00373,C0108,0.2944,0.2073,0.6866,0.1667,0.3852,0.9464,4,4,False
T00017,K00366,C0084,0.7824,0.7491,0.6582,1.0,0.4192,0.9533,7,8,False
T00018,K00473,C0110,0.6688,0.3542,0.5224,1.0,0.6991,0.9625,5,9,False
T00019,K00249,C0063,0.6791,0.5903,0.6739,1.0,0.5504,0.9493,6,7,False
T00020,K00486,C0084,0.4828,0.4463,0.7765,0.75,0.4192,0.9257,5,7,True
T00021,K00520,C0034,0.6721,0.3308,0.2745,1.0,0.8531,0.906,5,7,False
T00022,K00228,C0059,0.6369,0.6522,0.9744,1.0,0.2261,0.9204,7,9,False
T00023,K00219,C0005,0.4246,0.5668,0.817,0.75,0.5118,0.9293,5,9,True
T00024,K00234,C0077,0.3794,0.4158,0.597,0.3333,0.196,0.9466,5,4,False
T00025,K00537,C0095,0.1017,0.1201,0.4441,0.5,0.2832,0.9468,2,4,True
T00026,K00504,C0114,0.5427,0.4575,0.3735,0.625,0.1322,0.9744,6,6,True
T00027,K00620,C0101,0.4346,0.3687,0.7848,0.75,0.2157,0.9234,5,9,False
T00028,K00164,C0114,0.6417,0.5091,0.7368,0.6667,0.3236,0.9168,6,7,False
T00029,K00613,C0072,0.7917,0.7195,0.8294,1.0,0.4356,0.8709,7,9,False
T00030,K00374,C0020,0.0675,0.2754,0.8213,0.25,0.13,0.9127,3,2,True
T00031,K00022,C0108,0.5305,0.6503,0.7625,0.8333,0.3852,0.9071,6,8,True
T00032,K00335,C0119,0.511,0.4149,0.1228,1.0,0.4456,0.9416,4,7,False
T00033,K00601,C0103,0.9192,0.7547,0.8079,1.0,0.8055,0.9045,8,8,False
T00034,K00427,C0103,0.6049,0.5796,0.421,1.0,0.7432,0.8784,6,7,True
T00035,K00259,C0116,0.6464,0.5427,0.8026,1.0,0.4451,0.9295,5,9,False
T00036,K00453,C0084,0.3433,0.3408,0.5539,0.6667,0.3213,0.8301,3,6,False
T00037,K00496,C0012,0.7664,0.6481,0.5914,0.8333,0.6397,0.7122,8,6,False
T00038,K00415,C0039,0.6545,0.348,0.7333,1.0,0.2408,0.9461,5,9,False
T00039,K00143,C0006,0.4902,0.4152,0.36,0.875,0.6363,0.9548,4,6,False
T00040,K00563,C0068,0.6543,0.5074,0.3521,1.0,0.6102,0.6925,5,8,True
T00041,K00121,C0002,0.7029,0.5845,0.6427,1.0,0.6233,0.8532,7,6,False
T00042,K00403,C0081,0.6724,0.5531,0.905,1.0,0.6106,0.8136,6,8,False
T00043,K00306,C0039,0.7232,0.6784,0.8303,1.0,0.2408,0.6381,7,8,False
T00044,K00582,C0117,0.4184,0.1939,0.2179,1.0,0.1306,0.9622,3,8,True
