client_id,coach_id,need_competency_alignment,true_competence_primary,sector_match,working_style_compat,personality_sim
K00186,C0031,0.5,0.0501,0.0,0.6929,0.9836
K00186,C0094,0.5,0.0874,0.0,0.7023,0.9456
K00186,C0073,0.5,0.2251,0.0,0.736,0.9691
K00105,C0071,0.375,0.2298,0.0,0.7424,0.9741
K00105,C0055,0.625,0.2287,0.0,0.7564,0.9785
K00105,C0088,0.375,0.5919,0.0,0.9611,0.9431
K00145,C0054,1.0,0.4997,0.0,0.6531,0.9253
K00145,C0072,1.0,0.5483,0.0,0.6549,0.9089
K00145,C0022,1.0,0.6116,0.0,0.9125,0.8727
K00615,C0068,0.8333,0.6102,0.0,0.6732,0.8637
K00615,C0004,0.8333,0.4518,0.0,0.8405,0.9133
K00615,C0060,1.0,0.5578,0.0,0.7111,0.8836
K00471,C0030,1.0,0.6724,0.0,0.6878,0.9866
K00471,C0004,1.0,0.4518,0.0,0.749,0.9568
K00471,C0106,1.0,0.813,0.0,0.6468,0.9386
K00095,C0104,1.0,0.5871,0.0,0.6153,0.9488
K00095,C0093,1.0,0.6502,1.0,0.8982,0.9844
K00095,C0052,1.0,0.5104,0.0,0.8418,0.9698
K00171,C0013,1.0,0.7336,0.0,0.657,0.9184
K00171,C0002,1.0,0.6233,1.0,0.537,0.9514
K00171,C0031,1.0,0.1852,0.0,0.8002,0.7661
K00416,C0088,0.75,0.5845,1.0,0.7007,0.9753
K00416,C0113,0.75,0.646,0.0,0.4635,0.9913
K00416,C0063,0.75,0.5314,0.0,0.659,0.9311
K00119,C0071,0.75,0.1195,0.0,0.8321,0.9478
K00119,C0032,0.875,0.2432,0.0,0.8276,0.9189
K00119,C0116,1.0,0.1788,0.0,0.5824,0.9795
K00016,C0119,0.75,0.4456,0.0,0.563,0.9294
K00016,C0025,0.75,0.6046,0.0,0.7933,0.8652
K00016,C0114,0.75,0.3236,0.0,0.7534,0.8664
K00220,C0107,1.0,0.4681,0.0,0.8466,0.9843
K00220,C0073,1.0,0.4377,0.0,0.7676,0.9624
K00220,C0094,1.0,0.3064,0.0,0.662,0.94
K00564,C0022,1.0,0.6116,0.0,0.852,0.8004
K00564,C0072,1.0,0.5483,0.0,0.5644,0.8425
K00564,C0034,0.0,0.3365,0.0,0.8598,0.9787
K00144,C0116,1.0,0.4451,0.0,0.7396,0.9646
K00144,C0013,1.0,0.8026,0.0,0.8288,0.9509
K00144,C0031,1.0,0.3135,0.0,0.7789,0.9175
K00003,C0114,0.75,0.1733,0.0,0.775,0.9767
K00003,C0109,0.75,0.418,0.0,0.7719,0.9922
K00003,C0060,0.75,0.6895,0.0,0.7322,0.9441
K00507,C0006,0.875,0.6363,0.0,0.6014,0.9335
K00507,C0082,0.875,0.5546,0.0,0.6275,0.9182
K00507,C0101,0.875,0.719,0.0,0.7573,0.8454
K00267,C0045,1.0,0.7126,0.0,0.7756,0.9976
K00267,C0033,1.0,0.2507,0.0,0.7198,0.9387
K00267,C0078,1.0,0.6291,0.0,0.7547,0.9809
K00634,C0095,0.8333,0.3237,0.0,0.7694,0.9911
K00634,C0027,0.6667,0.1797,0.0,0.8218,0.9789
K00634,C0088,0.6667,0.2428,0.0,0.8558,0.9486
K00602,C0022,1.0,0.6116,0.0,0.8991,0.9057
K00602,C0027,0.8333,0.0776,1.0,0.9294,0.9676
K00602,C0049,0.3333,0.642,0.0,0.7699,0.9848
K00092,C0084,0.75,0.3056,0.0,0.5784,0.9109
K00092,C0058,0.75,0.8374,0.0,0.6958,0.8548
K00092,C0040,0.75,0.6094,0.0,0.5396,0.8126
K00467,C0002,1.0,0.622,0.0,0.9799,0.982
K00467,C0078,1.0,0.6291,0.0,0.7424,0.9582
K00467,C0096,1.0,0.3502,0.0,0.7224,0.9518
K00540,C0031,1.0,0.1852,0.0,0.6965,0.9764
K00540,C0002,1.0,0.6233,0.0,0.6549,0.916
K00540,C0077,1.0,0.5528,0.0,0.5872,0.8642
K00179,C0117,0.5,0.4618,0.0,0.7259,0.9728
K00179,C0055,0.5,0.5709,0.0,0.7001,0.9655
K00179,C0020,0.5,0.0909,0.0,0.8933,0.9572
K00373,C0108,0.1667,0.3852,0.0,0.9228,0.9464
K00373,C0005,0.8333,0.3245,0.0,0.7281,0.9329
K00373,C0119,0.8333,0.1426,0.0,0.5507,0.9363
K00299,C0119,1.0,0.4171,0.0,0.6875,0.9544
K00299,C0083,1.0,0.3713,0.0,0.5636,0.914
K00299,C0016,1.0,0.6363,0.0,0.6799,0.9695
K00212,C0005,0.75,0.5118,0.0,0.8032,0.9267
K00212,C0054,0.75,0.5085,0.0,0.6982,0.9024
K00212,C0084,0.75,0.3213,0.0,0.7123,0.8683
K00366,C0007,1.0,0.6328,0.0,0.5994,0.9792
K00366,C0002,1.0,0.622,0.0,0.7648,0.9466
K00366,C0084,1.0,0.4192,0.0,0.9112,0.9533
K00473,C0119,1.0,0.4171,0.0,0.6564,0.9678
K00473,C0110,1.0,0.6991,0.0,0.7326,0.9625
K00473,C0002,1.0,0.6233,1.0,0.6383,0.9543
K00067,C0054,0.5,0.2124,0.0,0.7461,0.9068
K00067,C0089,0.5,0.9804,0.0,0.8072,0.9151
K00067,C0012,0.5,0.2456,0.0,0.7249,0.942
K00249,C0063,1.0,0.5504,0.0,0.8102,0.9493
K00249,C0056,1.0,0.567,0.0,0.6484,0.9333
K00249,C0059,1.0,0.6274,0.0,0.6588,0.9367
K00486,C0084,0.75,0.4192,0.0,0.8074,0.9257
K00486,C0114,0.75,0.2468,0.0,0.8943,0.8268
K00486,C0031,0.75,0.3135,0.0,0.7304,0.9015
K00487,C0052,1.0,0.5104,0.0,0.8888,0.9394
K00487,C0060,1.0,0.5958,0.0,0.8574,0.8932
K00487,C0094,1.0,0.3064,0.0,0.8304,0.8945
K00255,C0119,1.0,0.1577,0.0,0.671,0.9851
K00255,C0081,0.0,0.2553,0.0,0.8184,0.9685
K00255,C0087,1.0,0.1312,0.0,0.7686,0.9361
K00520,C0034,1.0,0.8531,0.0,0.8333,0.906
K00520,C0072,1.0,0.4228,0.0,0.7846,0.9395
K00520,C0106,0.75,0.3289,0.0,0.7506,0.9726
K00228,C0056,1.0,0.2026,0.0,0.4394,0.8847
K00228,C0022,0.5,0.6116,0.0,0.7661,0.9523
K00228,C0059,1.0,0.2261,0.0,0.559,0.9204
K00219,C0004,1.0,0.5342,0.0,0.9507,0.9473
K00219,C0005,0.75,0.5118,0.0,0.8721,0.9293
K00219,C0054,0.75,0.5085,0.0,0.7693,0.9047
K00234,C0077,0.3333,0.196,0.0,0.8182,0.9466
K00234,C0013,0.3333,0.3432,0.0,0.7573,0.9741
K00234,C0078,0.3333,0.1953,0.0,0.7269,0.8778
K00422,C0112,0.875,0.34,0.0,0.6459,0.9339
K00422,C0045,0.875,0.635,0.0,0.9087,0.8786
K00422,C0056,0.75,0.141,0.0,0.7614,0.9653
K00537,C0032,0.5,0.2389,0.0,0.7507,0.9589
K00537,C0095,0.5,0.2832,0.0,0.8715,0.9468
K00537,C0017,0.5,0.3955,0.0,0.7592,0.9564
K00504,C0054,0.875,0.5377,0.0,0.7726,0.9447
K00504,C0109,0.5,0.3128,0.0,0.7478,0.9504
K00504,C0114,0.625,0.1322,0.0,0.7093,0.9744
K00620,C0054,0.75,0.5085,0.0,0.6037,0.8161
K00620,C0101,0.75,0.2157,0.0,0.8782,0.9234
K00620,C0087,0.5,0.5538,0.0,0.7117,0.9001
K00078,C0103,1.0,0.7432,0.0,0.5553,0.8728
K00078,C0007,1.0,0.6328,0.0,0.5788,0.7577
K00078,C0078,0.75,0.6291,0.0,0.8109,0.9495
K00397,C0022,0.75,0.6116,0.0,0.6306,0.8588
K00397,C0053,0.75,0.2663,0.0,0.9045,0.9199
K00397,C0107,0.75,0.1619,0.0,0.6781,0.9726
K00164,C0119,0.6667,0.4456,0.0,0.6807,0.8896
K00164,C0114,0.6667,0.3236,0.0,0.7511,0.9168
K00164,C0025,0.6667,0.6046,0.0,0.6489,0.9078
K00613,C0022,1.0,0.5559,0.0,0.7775,0.9187
K00613,C0072,1.0,0.4356,0.0,0.8629,0.8709
K00613,C0089,0.3333,0.9804,0.0,0.7211,0.9518
K00339,C0009,1.0,0.2631,1.0,0.8496,0.9565
K00339,C0090,1.0,0.2183,0.0,0.8194,0.9832
K00339,C0117,1.0,0.127,0.0,0.5952,0.9232
K00374,C0054,0.75,0.5085,0.0,0.8936,0.761
K00374,C0020,0.25,0.13,0.0,0.8537,0.9127
K00374,C0036,0.25,0.2395,0.0,0.8163,0.8967
K00022,C0108,0.8333,0.3852,0.0,0.5149,0.9071
K00022,C0110,0.8333,0.6702,0.0,0.6858,0.8892
