client_id,coach_id,rank_shown,offer_date,visible_profile_appeal,chosen
K00186,C0031,1,2023-01-01,0.7895,False
K00186,C0094,2,2023-01-01,1.0,False
K00186,C0073,3,2023-01-01,1.0,False
K00105,C0071,1,2023-01-01,1.0,False
K00105,C0055,2,2023-01-01,0.4164,False
K00105,C0088,3,2023-01-01,1.0,False
K00145,C0054,1,2023-01-01,0.1312,False
K00145,C0072,2,2023-01-01,1.0,True
K00145,C0022,3,2023-01-01,0.3629,False
K00615,C0068,1,2023-01-01,0.8036,True
K00615,C0004,2,2023-01-01,0.0,False
K00615,C0060,3,2023-01-01,0.3561,False
K00471,C0030,1,2023-01-01,1.0,True
K00471,C0004,2,2023-01-01,0.0,False
K00471,C0106,3,2023-01-01,0.7671,False
K00095,C0104,1,2023-01-02,1.0,True
K00095,C0093,2,2023-01-02,0.6848,False
K00095,C0052,3,2023-01-02,0.5079,False
K00171,C0013,1,2023-01-02,0.6899,False
K00171,C0002,2,2023-01-02,0.7139,False
K00171,C0031,3,2023-01-02,0.7895,False
K00416,C0088,1,2023-01-02,1.0,False
K00416,C0113,2,2023-01-02,1.0,True
K00416,C0063,3,2023-01-02,1.0,False
K00119,C0071,1,2023-01-02,1.0,True
K00119,C0032,2,2023-01-02,0.093,False
K00119,C0116,3,2023-01-02,1.0,False
K00016,C0119,1,2023-01-02,0.664,False
K00016,C0025,2,2023-01-02,1.0,True
K00016,C0114,3,2023-01-02,1.0,False
K00220,C0107,1,2023-01-02,0.9289,True
K00220,C0073,2,2023-01-02,1.0,False
K00220,C0094,3,2023-01-02,1.0,False
K00564,C0022,1,2023-01-02,0.3629,False
K00564,C0072,2,2023-01-02,1.0,False
K00564,C0034,3,2023-01-02,0.6887,False
K00144,C0116,1,2023-01-03,1.0,True
K00144,C0013,2,2023-01-03,0.6899,False
K00144,C0031,3,2023-01-03,0.7895,False
K00003,C0114,1,2023-01-03,1.0,False
K00003,C0109,2,2023-01-03,0.3287,False
K00003,C0060,3,2023-01-03,0.3561,False
K00507,C0006,1,2023-01-03,0.6721,False
K00507,C0082,2,2023-01-03,0.8074,False
K00507,C0101,3,2023-01-03,0.5975,False
K00267,C0045,1,2023-01-04,0.8669,False
K00267,C0033,2,2023-01-04,0.4177,True
K00267,C0078,3,2023-01-04,0.3912,False
K00634,C0095,1,2023-01-04,0.7468,False
K00634,C0027,2,2023-01-04,0.1043,False
K00634,C0088,3,2023-01-04,1.0,True
K00602,C0022,1,2023-01-04,0.3629,False
K00602,C0027,2,2023-01-04,0.1043,False
K00602,C0049,3,2023-01-04,0.8849,True
K00092,C0084,1,2023-01-04,0.9892,False
K00092,C0058,2,2023-01-04,1.0,True
K00092,C0040,3,2023-01-04,0.7159,False
K00467,C0002,1,2023-01-05,0.7139,False
K00467,C0078,2,2023-01-05,0.3912,False
K00467,C0096,3,2023-01-05,0.7439,True
K00540,C0031,1,2023-01-05,0.7895,True
K00540,C0002,2,2023-01-05,0.7139,False
K00540,C0077,3,2023-01-05,1.0,False
K00179,C0117,1,2023-01-05,0.9361,False
K00179,C0055,2,2023-01-05,0.4164,False
K00179,C0020,3,2023-01-05,0.6867,False
K00373,C0108,1,2023-01-06,0.9628,True
K00373,C0005,2,2023-01-06,0.901,False
K00373,C0119,3,2023-01-06,0.664,False
K00299,C0119,1,2023-01-06,0.664,False
K00299,C0083,2,2023-01-06,0.5735,False
K00299,C0016,3,2023-01-06,0.6837,False
K00212,C0005,1,2023-01-07,0.901,False
K00212,C0054,2,2023-01-07,0.1312,False
K00212,C0084,3,2023-01-07,0.9892,False
K00366,C0007,1,2023-01-07,0.3312,False
K00366,C0002,2,2023-01-07,0.7139,False
K00366,C0084,3,2023-01-07,0.9892,True
K00473,C0119,1,2023-01-07,0.664,False
K00473,C0110,2,2023-01-07,0.403,True
K00473,C0002,3,2023-01-07,0.7139,False
K00067,C0054,1,2023-01-07,0.1312,False
K00067,C0089,2,2023-01-07,0.8805,False
K00067,C0012,3,2023-01-07,0.6089,False
K00249,C0063,1,2023-01-07,1.0,True
K00249,C0056,2,2023-01-07,0.2414,False
K00249,C0059,3,2023-01-07,0.6396,False
K00486,C0084,1,2023-01-08,0.9892,True
K00486,C0114,2,2023-01-08,1.0,False
K00486,C0031,3,2023-01-08,0.7895,False
K00487,C0052,1,2023-01-09,0.5079,False
K00487,C0060,2,2023-01-09,0.3561,False
K00487,C0094,3,2023-01-09,1.0,False
K00255,C0119,1,2023-01-10,0.664,False
K00255,C0081,2,2023-01-10,0.6906,False
K00255,C0087,3,2023-01-10,0.0267,False
K00520,C0034,1,2023-01-10,0.6887,True
K00520,C0072,2,2023-01-10,1.0,False
K00520,C0106,3,2023-01-10,0.7671,False
K00228,C0056,1,2023-01-12,0.2414,False
K00228,C0022,2,2023-01-12,0.3629,False
K00228,C0059,3,2023-01-12,0.6396,True
K00219,C0004,1,2023-01-12,0.0,False
K00219,C0005,2,2023-01-12,0.901,True
K00219,C0054,3,2023-01-12,0.1312,False
K00234,C0077,1,2023-01-13,1.0,True
K00234,C0013,2,2023-01-13,0.6899,False
K00234,C0078,3,2023-01-13,0.3912,False
K00422,C0112,1,2023-01-13,1.0,False
K00422,C0045,2,2023-01-13,0.8669,False
K00422,C0056,3,2023-01-13,0.2414,False
K00537,C0032,1,2023-01-13,0.093,False
K00537,C0095,2,2023-01-13,0.7468,True
K00537,C0017,3,2023-01-13,0.9423,False
K00504,C0054,1,2023-01-13,0.1312,False
K00504,C0109,2,2023-01-13,0.3287,False
K00504,C0114,3,2023-01-13,1.0,True
K00620,C0054,1,2023-01-13,0.1312,False
K00620,C0101,2,2023-01-13,0.5975,True
K00620,C0087,3,2023-01-13,0.0267,False
K00078,C0103,1,2023-01-14,1.0,False
K00078,C0007,2,2023-01-14,0.3312,False
K00078,C0078,3,2023-01-14,0.3912,False
K00397,C0022,1,2023-01-14,0.3629,False
K00397,C0053,2,2023-01-14,0.5692,False
K00397,C0107,3,2023-01-14,0.9289,False
K00164,C0119,1,2023-01-15,0.664,False
K00164,C0114,2,2023-01-15,1.0,True
K00164,C0025,3,2023-01-15,1.0,False
K00613,C0022,1,2023-01-16,0.3629,False
K00613,C0072,2,2023-01-16,1.0,True
K00613,C0089,3,2023-01-16,0.8805,False
K00339,C0009,1,2023-01-16,0.5136,False
K00339,C0090,2,2023-01-16,0.6321,False
K00339,C0117,3,2023-01-16,0.9361,False
K00374,C0054,1,2023-01-16,0.1312,False
K00374,C0020,2,2023-01-16,0.6867,True
K00374,C0036,3,2023-01-16,1.0,False
K00022,C0108,1,2023-01-16,0.9628,True
K00022,C0110,2,2023-01-16,0.403,False
K00022,C0042,3,2023-01-16,0.387,False
K00335,C0119,1,2023-01-17,0.664,True
K00335,C0090,2,2023-01-17,0.6321,False
K00335,C0117,3,2023-01-17,0.9361,False
K00166,C0054,1,2023-01-17,0.1312,False
K00166,C0036,2,2023-01-17,1.0,False
K00166,C0012,3,2023-01-17,0.6089,False
K00087,C0111,1,2023-01-17,0.7518,False
K00087,C0088,2,2023-01-17,1.0,False
K00087,C0027,3,2023-01-17,0.1043,False
K00601,C0103,1,2023-01-18,1.0,True
K00601,C0045,2,2023-01-18,0.8669,False
K00601,C0028,3,2023-01-18,0.5745,False
K00427,C0103,1,2023-01-18,1.0,True
K00427,C0007,2,2023-01-18,0.3312,False
K00427,C0032,3,2023-01-18,0.093,False
K00037,C0006,1,2023-01-20,0.6721,False
K00037,C0101,2,2023-01-20,0.5975,False
K00037,C0012,3,2023-01-20,0.6089,False
K00438,C0052,1,2023-01-20,0.5079,False
K00438,C0004,2,2023-01-20,0.0,False
K00438,C0019,3,2023-01-20,1.0,False
K00259,C0006,1,2023-01-20,0.6721,False
K00259,C0082,2,2023-01-20,0.8074,False
K00259,C0116,3,2023-01-20,1.0,True
K00453,C0114,1,2023-01-21,1.0,False
K00453,C0031,2,2023-01-21,0.7895,False
K00453,C0084,3,2023-01-21,0.9892,True
K00496,C0006,1,2023-01-21,0.6721,False
K00496,C0101,2,2023-01-21,0.5975,False
K00496,C0012,3,2023-01-21,0.6089,True
K00276,C0022,1,2023-01-21,0.3629,False
K00276,C0054,2,2023-01-21,0.1312,False
K00276,C0049,3,2023-01-21,0.8849,False
K00470,C0078,1,2023-01-21,0.3912,False
K00470,C0045,2,2023-01-21,0.8669,False
K00470,C0002,3,2023-01-21,0.7139,False
K00415,C0007,1,2023-01-22,0.3312,False
K00415,C0039,2,2023-01-22,1.0,True
K00415,C0094,3,2023-01-22,1.0,False
K00143,C0006,1,2023-01-22,0.6721,True
K00143,C0073,2,2023-01-22,1.0,False
K00143,C0094,3,2023-01-22,1.0,False
K00563,C0060,1,2023-01-22,0.3561,False
K00563,C0004,2,2023-01-22,0.0,False
K00563,C0068,3,2023-01-22,0.8036,True
K00033,C0054,1,2023-01-22,0.1312,False
K00033,C0097,2,2023-01-22,0.6906,False
K00033,C0024,3,2023-01-22,0.6241,False
K00121,C0081,1,2023-01-22,0.6906,False
K00121,C0013,2,2023-01-22,0.6899,False
K00121,C0002,3,2023-01-22,0.7139,True
K00403,C0081,1,2023-01-23,0.6906,True
K00403,C0013,2,2023-01-23,0.6899,False
K00403,C0031,3,2023-01-23,0.7895,False
K00306,C0094,1,2023-01-24,1.0,False
K00306,C0039,2,2023-01-24,1.0,True
K00306,C0004,3,2023-01-24,0.0,False
K00170,C0087,1,2023-01-24,0.0267,False
K00170,C0066,2,2023-01-24,1.0,False
K00170,C0017,3,2023-01-24,0.9423,False
K00244,C0081,1,2023-01-24,0.6906,False
K00244,C0002,2,2023-01-24,0.7139,False
K00244,C0013,3,2023-01-24,0.6899,False
K00561,C0004,1,2023-01-24,0.0,False
K00561,C0060,2,2023-01-24,0.3561,False
K00561,C0068,3,2023-01-24,0.8036,False
K00199,C0009,1,2023-01-24,0.5136,False
K00199,C0090,2,2023-01-24,0.6321,False
K00199,C0007,3,2023-01-24,0.3312,False
K00368,C0054,1,2023-01-25,0.1312,False
K00368,C0100,2,2023-01-25,0.652,False
K00368,C0109,3,2023-01-25,0.3287,False
K00582,C0042,1,2023-01-25,0.387,False
K00582,C0119,2,2023-01-25,0.664,False
K00582,C0117,3,2023-01-25,0.9361,True
K00550,C0054,1,2023-01-25,0.1312,False
K00550,C0075,2,2023-01-25,0.4976,False
K00550,C0015,3,2023-01-25,1.0,False
K00246,C0052,1,2023-01-25,0.5079,False
K00246,C0067,2,2023-01-25,1.0,False
K00246,C0106,3,2023-01-25,0.7671,False
K00012,C0048,1,2023-01-25,0.4161,False
K00012,C0087,2,2023-01-25,0.0267,False
K00012,C0091,3,2023-01-25,0.3306,False
K00457,C0032,1,2023-01-25,0.093,False
K00457,C0007,2,2023-01-25,0.3312,False
K00457,C0048,3,2023-01-25,0.4161,False
K00358,C0072,1,2023-01-26,1.0,True
K00358,C0022,2,2023-01-26,0.3629,False
K00358,C0067,3,2023-01-26,1.0,False
K00312,C0076,1,2023-01-26,1.0,False
K00312,C0092,2,2023-01-26,1.0,True
K00312,C0048,3,2023-01-26,0.4161,False
K00007,C0006,1,2023-01-26,0.6721,False
K00007,C0094,2,2023-01-26,1.0,True
K00007,C0073,3,2023-01-26,1.0,False
K00429,C0060,1,2023-01-27,0.3561,False
K00429,C0004,2,2023-01-27,0.0,False
K00429,C0068,3,2023-01-27,0.8036,False
K00235,C0032,1,2023-01-27,0.093,False
K00235,C0076,2,2023-01-27,1.0,True
K00235,C0095,3,2023-01-27,0.7468,False
K00446,C0070,1,2023-02-01,0.8852,False
K00446,C0032,2,2023-02-01,0.093,False
K00446,C0037,3,2023-02-01,0.9427,False
K00553,C0027,1,2023-02-02,0.1043,False
K00553,C0055,2,2023-02-02,0.4164,False
K00553,C0117,3,2023-02-02,0.9361,False
K00449,C0054,1,2023-02-04,0.1312,False
K00449,C0052,2,2023-02-04,0.5079,True
K00449,C0067,3,2023-02-04,1.0,False
K00196,C0004,1,2023-02-05,0.0,False
K00196,C0060,2,2023-02-05,0.3561,False
K00196,C0068,3,2023-02-05,0.8036,False
K00005,C0007,1,2023-02-05,0.3312,False
K00005,C0114,2,2023-02-05,1.0,False
K00005,C0042,3,2023-02-05,0.387,False
K00630,C0052,1,2023-02-06,0.5079,False
K00630,C0060,2,2023-02-06,0.3561,False
K00630,C0022,3,2023-02-06,0.3629,True
K00455,C0094,1,2023-02-08,1.0,False
K00455,C0039,2,2023-02-08,1.0,False
K00455,C0019,3,2023-02-08,1.0,True
K00282,C0027,1,2023-02-09,0.1043,False
K00282,C0090,2,2023-02-09,0.6321,False
K00282,C0025,3,2023-02-09,1.0,False
K00409,C0101,1,2023-02-10,0.5975,False
K00409,C0006,2,2023-02-10,0.6721,False
K00409,C0012,3,2023-02-10,0.6089,False
K00256,C0036,1,2023-02-10,1.0,False
K00256,C0088,2,2023-02-10,1.0,False
K00256,C0035,3,2023-02-10,1.0,True
K00528,C0024,1,2023-02-10,0.6241,True
K00528,C0097,2,2023-02-10,0.6906,False
K00528,C0006,3,2023-02-10,0.6721,False
K00360,C0114,1,2023-02-11,1.0,False
K00360,C0031,2,2023-02-11,0.7895,False
K00360,C0084,3,2023-02-11,0.9892,False
K00424,C0007,1,2023-02-11,0.3312,False
K00424,C0114,2,2023-02-11,1.0,False
K00424,C0055,3,2023-02-11,0.4164,True
K00302,C0101,1,2023-02-12,0.5975,False
K00302,C0006,2,2023-02-12,0.6721,False
K00302,C0088,3,2023-02-12,1.0,True
K00606,C0007,1,2023-02-12,0.3312,True
K00606,C0103,2,2023-02-12,1.0,False
K00606,C0032,3,2023-02-12,0.093,False
K00636,C0097,1,2023-02-13,0.6906,False
K00636,C0054,2,2023-02-13,0.1312,False
K00636,C0006,3,2023-02-13,0.6721,False
K00474,C0116,1,2023-02-14,1.0,True
K00474,C0032,2,2023-02-14,0.093,False
K00474,C0016,3,2023-02-14,0.6837,False
K00178,C0032,1,2023-02-14,0.093,False
K00178,C0095,2,2023-02-14,0.7468,False
K00178,C0076,3,2023-02-14,1.0,True
K00147,C0032,1,2023-02-15,0.093,False
K00147,C0093,2,2023-02-15,0.6848,False
K00147,C0027,3,2023-02-15,0.1043,False
K00202,C0073,1,2023-02-15,1.0,False
K00202,C0107,2,2023-02-15,0.9289,True
K00202,C0006,3,2023-02-15,0.6721,False
K00231,C0058,1,2023-02-17,1.0,False
K00231,C0060,2,2023-02-17,0.3561,False
K00231,C0025,3,2023-02-17,1.0,True
K00030,C0032,1,2023-02-18,0.093,False
K00030,C0095,2,2023-02-18,0.7468,False
K00030,C0076,3,2023-02-18,1.0,True
K00461,C0027,1,2023-02-19,0.1043,False
K00461,C0090,2,2023-02-19,0.6321,False
K00461,C0009,3,2023-02-19,0.5136,False
K00154,C0119,1,2023-02-19,0.664,False
K00154,C0114,2,2023-02-19,1.0,True
K00154,C0025,3,2023-02-19,1.0,False
K00390,C0085,1,2023-02-20,1.0,True
K00390,C0045,2,2023-02-20,0.8669,False
K00390,C0082,3,2023-02-20,0.8074,False
K00060,C0004,1,2023-02-20,0.0,False
K00060,C0008,2,2023-02-20,0.6952,False
K00060,C0106,3,2023-02-20,0.7671,False
K00216,C0020,1,2023-02-20,0.6867,False
K00216,C0016,2,2023-02-20,0.6837,False
K00216,C0083,3,2023-02-20,0.5735,False
K00165,C0097,1,2023-02-21,0.6906,True
K00165,C0101,2,2023-02-21,0.5975,False
K00165,C0020,3,2023-02-21,0.6867,False
K00011,C0027,1,2023-02-21,0.1043,False
K00011,C0090,2,2023-02-21,0.6321,True
K00011,C0054,3,2023-02-21,0.1312,False
K00123,C0032,1,2023-02-21,0.093,False
K00123,C0095,2,2023-02-21,0.7468,False
K00123,C0076,3,2023-02-21,1.0,True
K00362,C0005,1,2023-02-22,0.901,False
K00362,C0015,2,2023-02-22,1.0,True
K00362,C0054,3,2023-02-22,0.1312,False
K00333,C0089,1,2023-02-22,0.8805,False
K00333,C0034,2,2023-02-22,0.6887,False
K00333,C0106,3,2023-02-22,0.7671,False
K00502,C0060,1,2023-02-22,0.3561,False
K00502,C0004,2,2023-02-22,0.0,False
K00502,C0034,3,2023-02-22,0.6887,False
K00274,C0095,1,2023-02-24,0.7468,False
K00274,C0032,2,2023-02-24,0.093,False
K00274,C0076,3,2023-02-24,1.0,False
K00425,C0081,1,2023-02-24,0.6906,False
K00425,C0002,2,2023-02-24,0.7139,False
K00425,C0013,3,2023-02-24,0.6899,False
K00100,C0060,1,2023-02-24,0.3561,False
K00100,C0094,2,2023-02-24,1.0,True
K00100,C0052,3,2023-02-24,0.5079,False
K00377,C0091,1,2023-02-24,0.3306,False
K00377,C0042,2,2023-02-24,0.387,False
K00377,C0087,3,2023-02-24,0.0267,False
K00015,C0006,1,2023-02-25,0.6721,False
K00015,C0101,2,2023-02-25,0.5975,True
K00015,C0012,3,2023-02-25,0.6089,False
K00600,C0006,1,2023-02-25,0.6721,False
K00600,C0088,2,2023-02-25,1.0,False
K00600,C0071,3,2023-02-25,1.0,False
K00382,C0112,1,2023-02-25,1.0,False
K00382,C0046,2,2023-02-25,0.7659,False
K00382,C0080,3,2023-02-25,1.0,True
K00250,C0060,1,2023-02-25,0.3561,False
K00250,C0058,2,2023-02-25,1.0,False
K00250,C0025,3,2023-02-25,1.0,True
K00236,C0008,1,2023-02-25,0.6952,False
K00236,C0060,2,2023-02-25,0.3561,False
K00236,C0106,3,2023-02-25,0.7671,True
K00240,C0073,1,2023-02-26,1.0,True
K00240,C0082,2,2023-02-26,0.8074,False
K00240,C0107,3,2023-02-26,0.9289,False
K00605,C0060,1,2023-02-26,0.3561,False
K00605,C0004,2,2023-02-26,0.0,False
K00605,C0068,3,2023-02-26,0.8036,False
K00607,C0009,1,2023-02-27,0.5136,False
K00607,C0038,2,2023-02-27,0.7717,False
K00607,C0117,3,2023-02-27,0.9361,True
K00332,C0020,1,2023-03-02,0.6867,False
K00332,C0054,2,2023-03-02,0.1312,False
K00332,C0036,3,2023-03-02,1.0,True
K00522,C0034,1,2023-03-02,0.6887,True
K00522,C0072,2,2023-03-02,1.0,False
K00522,C0042,3,2023-03-02,0.387,False
K00056,C0042,1,2023-03-02,0.387,False
